사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,2호선,25,잠실나루,9,0,"2,608","1,389","9,771","9,569","32,045","19,690","37,317","32,267","23,541","21,864","17,477","14,680","17,317","12,983","16,955","15,723","16,153","15,911","17,276","13,956","18,166","13,392","22,280","14,230","27,534","19,488","26,711","32,199","13,463","25,410","9,237","14,649","7,189","13,309","5,074","12,310","1,855","8,044",1,187,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,26,잠실(송파구청),88,5,"10,702","4,480","40,613","31,095","94,785","63,999","131,214","141,093","94,224","117,589","58,960","71,171","59,772","71,298","66,429","76,271","71,973","79,766","73,744","77,631","83,525","81,874","97,250","92,191","134,427","118,539","173,881","178,792","114,005","124,678","108,480","73,798","86,144","64,182","69,632","60,976","19,218","36,200",11,850,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,27,잠실새내,17,2,"4,524",856,"14,065","7,031","45,585","13,535","57,326","22,941","35,099","25,440","22,011","19,959","21,534","20,360","24,011","21,459","24,500","25,411","22,585","26,042","23,806","28,058","27,878","31,406","29,169","43,114","33,916","69,507","25,279","50,516","21,093","27,402","20,758","23,332","20,409","22,228","9,376","11,919",6,"1,139",1,1,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,28,종합운동장,4,0,"1,489",941,"5,158","6,245","14,538","9,025","19,329","17,739","14,314","9,513","8,561","6,459","8,018","6,202","8,049","6,984","8,386","7,987","8,511","7,916","8,789","9,751","10,315","11,441","12,117","18,928","14,740","26,219","8,012","15,542","6,489","9,138","10,723","8,775","8,886","8,780","2,303","5,157",3,451,1,2,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,29,삼성(무역센터),157,3,"4,707","4,531","6,725","43,063","13,961","115,581","18,268","278,873","17,465","203,747","18,341","81,833","26,238","61,080","34,319","57,784","42,895","63,435","53,549","54,388","68,355","47,360","88,373","43,197","157,389","44,436","256,566","49,400","146,505","29,069","98,826","15,404","80,450","12,218","56,950","9,432","12,689","6,652",0,"3,384",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,30,선릉,88,3,"4,570","5,968","10,006","37,467","18,063","100,584","26,253","243,964","24,892","182,171","27,329","79,266","36,011","51,480","43,009","48,065","50,288","52,457","58,307","46,317","72,399","39,456","100,203","38,201","152,434","41,708","252,154","45,770","125,174","29,725","73,930","17,756","70,686","14,497","62,626","13,124","17,473","7,948",5,230,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,31,역삼,33,0,"3,632","6,797","8,196","39,109","12,607","107,698","21,227","283,226","20,177","233,765","19,512","86,733","26,591","52,969","32,895","46,206","38,836","53,197","45,831","46,035","60,956","41,014","77,811","36,265","158,055","41,291","241,716","46,085","120,712","31,550","68,039","18,635","66,394","14,035","47,711","11,278","15,967","7,805",1,51,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,32,강남,136,6,"9,933","11,421","17,943","50,563","34,222","136,676","52,487","291,784","42,424","302,750","42,411","141,012","60,665","104,391","78,136","103,107","96,206","123,760","99,948","104,487","124,434","97,208","143,634","95,011","212,249","115,997","316,371","159,139","197,557","104,599","145,854","48,913","166,491","37,157","160,660","29,362","54,112","20,889",7,11,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,33,교대(법원.검찰청),22,2,"2,271","6,819","10,870","24,736","22,207","50,442","30,213","134,449","23,056","121,164","21,547","59,435","26,528","45,182","30,407","43,475","35,845","48,503","42,081","44,410","47,612","39,235","52,526","38,516","83,609","46,086","129,161","59,043","61,593","37,824","44,353","20,504","48,016","16,924","42,028","15,402","13,598","10,016",8,162,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,34,서초,24,0,"1,132","4,636","6,817","18,835","11,763","43,076","19,960","104,722","19,922","75,609","15,572","30,005","19,323","22,375","19,292","18,597","22,636","21,667","24,847","19,854","29,453","16,881","33,188","17,288","58,632","17,722","90,308","18,804","38,611","13,217","23,196","8,328","24,235","7,161","15,723","6,862","4,286","3,805",1,16,0,0,0,0,0,0,2020-09-03 12:26:43
